acceptable,review_notes,delete_reason,skill_id,band,level,phase,question_id,question_type,target_word,prompt,sentence_with_blank,full_sentence,answer_choices,correct_answer,letter_tiles,correct_letter_sequence,image_path,audio_path,template_key,content_key,target_template_key,source,source_sheet,generator_notes,possible_problem_flags
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_to_l1p1_06,multiple_choice,to,Choose the word that completes the sentence.,Dad drove ___ the store.,Dad drove to the store.,go | to | like | look | go | to | like | look | go | to | like | look,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s05.webp,,HFW_SENTENCE_CLOZE_L1P1_07,to::HFW_SENTENCE_CLOZE_L1P1_07::dad drove ___ the store::to::go|go|go|like|like|like|look|look|look|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s05.webp,to::HFW_SENTENCE_CLOZE_L1P1_07,hfw_true_variation_generator,HFW 1-25,sentence_frame=dad drove ___ the store,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_to_l1p2_01,multiple_choice,to,Read the sentence. Choose the word that fits.,"When the red light blinked, we walked ___ the park gate.","When the red light blinked, we walked to the park gate.",look | to | a | like | look | to | a | like | look | to | a | like,to,,,/images/assessment/hfw/variants/hfw-1-25/to-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_02,to::HFW_SENTENCE_CLOZE_L1P2_02::when the red light blinked we walked ___ the park gate::to::a|a|a|like|like|like|look|look|look|to|to|to::/images/assessment/hfw/variants/hfw-1-25/to-l1p2-02.webp,to::HFW_SENTENCE_CLOZE_L1P2_02,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the red light blinked we walked ___ the park gate,mechanical_sentence
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_to_l1p2_02,multiple_choice,to,Read the sentence. Choose the word that fits.,He listened ___ the song.,He listened to the song.,to | a | like | look | to | a | like | look | to | a | like | look,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s06.webp,,HFW_SENTENCE_CLOZE_L1P2_03,to::HFW_SENTENCE_CLOZE_L1P2_03::he listened ___ the song::to::a|a|a|like|like|like|look|look|look|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s06.webp,to::HFW_SENTENCE_CLOZE_L1P2_03,hfw_true_variation_generator,HFW 1-25,sentence_frame=he listened ___ the song,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_to_l1p2_03,multiple_choice,to,Read the sentence. Choose the word that fits.,The bird flew ___ the tree.,The bird flew to the tree.,a | like | look | to | a | like | look | to | a | like | look | to,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s07.webp,,HFW_SENTENCE_CLOZE_L1P2_04,to::HFW_SENTENCE_CLOZE_L1P2_04::the bird flew ___ the tree::to::a|a|a|like|like|like|look|look|look|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s07.webp,to::HFW_SENTENCE_CLOZE_L1P2_04,hfw_true_variation_generator,HFW 1-25,sentence_frame=the bird flew ___ the tree,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_to_l1p2_04,multiple_choice,to,Read the sentence. Choose the word that fits.,I need ___ wash my hands.,I need to wash my hands.,like | look | to | a | like | look | to | a | like | look | to | a,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s08.webp,,HFW_SENTENCE_CLOZE_L1P2_05,to::HFW_SENTENCE_CLOZE_L1P2_05::i need ___ wash my hands::to::a|a|a|like|like|like|look|look|look|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s08.webp,to::HFW_SENTENCE_CLOZE_L1P2_05,hfw_true_variation_generator,HFW 1-25,sentence_frame=i need ___ wash my hands,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_to_l1p2_05,multiple_choice,to,Read the sentence. Choose the word that fits.,She tried ___ tie her shoe.,She tried to tie her shoe.,look | to | a | like | look | to | a | like | look | to | a | like,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s09.webp,,HFW_SENTENCE_CLOZE_L1P2_06,to::HFW_SENTENCE_CLOZE_L1P2_06::she tried ___ tie her shoe::to::a|a|a|like|like|like|look|look|look|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s09.webp,to::HFW_SENTENCE_CLOZE_L1P2_06,hfw_true_variation_generator,HFW 1-25,sentence_frame=she tried ___ tie her shoe,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_to_l1p2_06,multiple_choice,to,Read the sentence. Choose the word that fits.,We ran ___ catch the bus.,We ran to catch the bus.,to | a | like | look | to | a | like | look | to | a | like | look,to,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s10.webp,,HFW_SENTENCE_CLOZE_L1P2_07,to::HFW_SENTENCE_CLOZE_L1P2_07::we ran ___ catch the bus::to::a|a|a|like|like|like|look|look|look|to|to|to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s10.webp,to::HFW_SENTENCE_CLOZE_L1P2_07,hfw_true_variation_generator,HFW 1-25,sentence_frame=we ran ___ catch the bus,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_to_l2p1_01,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,"When the class lined up, we walked ___ the park gate.","When the class lined up, we walked to the park gate.",,to,t w f n i o g b l d e z,to,/images/assessment/hfw/variants/hfw-1-25/to-l2p1-02.webp,,HFW_SENTENCE_SPELL_L2P1_02,to::HFW_SENTENCE_SPELL_L2P1_02::when the class lined up we walked ___ the park gate::to::/images/assessment/hfw/variants/hfw-1-25/to-l2p1-02.webp,to::HFW_SENTENCE_SPELL_L2P1_02,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the class lined up we walked ___ the park gate,mechanical_sentence
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_to_l2p1_02,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,The puppy came ___ me.,The puppy came to me.,,to,e t y w s n o k g u l t,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s11.webp,,HFW_SENTENCE_SPELL_L2P1_03,to::HFW_SENTENCE_SPELL_L2P1_03::the puppy came ___ me::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s11.webp,to::HFW_SENTENCE_SPELL_L2P1_03,hfw_true_variation_generator,HFW 1-25,sentence_frame=the puppy came ___ me,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_to_l2p1_03,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,He wanted ___ read the book.,He wanted to read the book.,,to,a t t p y h s o q k c u,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s12.webp,,HFW_SENTENCE_SPELL_L2P1_04,to::HFW_SENTENCE_SPELL_L2P1_04::he wanted ___ read the book::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s12.webp,to::HFW_SENTENCE_SPELL_L2P1_04,hfw_true_variation_generator,HFW 1-25,sentence_frame=he wanted ___ read the book,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_to_l2p1_04,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,"When the clock chimed, we walked ___ the park gate.","When the clock chimed, we walked to the park gate.",,to,o a t v p r h o j q m c,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s13.webp,,HFW_SENTENCE_SPELL_L2P1_05,to::HFW_SENTENCE_SPELL_L2P1_05::when the clock chimed we walked ___ the park gate::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s13.webp,to::HFW_SENTENCE_SPELL_L2P1_05,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the clock chimed we walked ___ the park gate,mechanical_sentence
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_to_l2p1_05,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,Mom pointed ___ the picture.,Mom pointed to the picture.,,to,m i o t b v d r o x j f,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s14.webp,,HFW_SENTENCE_SPELL_L2P1_06,to::HFW_SENTENCE_SPELL_L2P1_06::mom pointed ___ the picture::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s14.webp,to::HFW_SENTENCE_SPELL_L2P1_06,hfw_true_variation_generator,HFW 1-25,sentence_frame=mom pointed ___ the picture,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_to_l2p1_06,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,I like ___ draw animals.,I like to draw animals.,,to,w f n i t g b l d o z x,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s15.webp,,HFW_SENTENCE_SPELL_L2P1_07,to::HFW_SENTENCE_SPELL_L2P1_07::i like ___ draw animals::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s15.webp,to::HFW_SENTENCE_SPELL_L2P1_07,hfw_true_variation_generator,HFW 1-25,sentence_frame=i like ___ draw animals,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_to_l2p2_01,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,"When the lantern glowed, we walked ___ the park gate.","When the lantern glowed, we walked to the park gate.",,to,w o n i k g u l t e z y,to,/images/assessment/hfw/variants/hfw-1-25/to-l2p2-02.webp,,HFW_SENTENCE_SPELL_L2P2_02,to::HFW_SENTENCE_SPELL_L2P2_02::when the lantern glowed we walked ___ the park gate::to::/images/assessment/hfw/variants/hfw-1-25/to-l2p2-02.webp,to::HFW_SENTENCE_SPELL_L2P2_02,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the lantern glowed we walked ___ the park gate,mechanical_sentence
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_to_l2p2_02,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,The frog jumped ___ the rock.,The frog jumped to the rock.,,to,p y o s n q k c u t t e,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s16.webp,,HFW_SENTENCE_SPELL_L2P2_03,to::HFW_SENTENCE_SPELL_L2P2_03::the frog jumped ___ the rock::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s16.webp,to::HFW_SENTENCE_SPELL_L2P2_03,hfw_true_variation_generator,HFW 1-25,sentence_frame=the frog jumped ___ the rock,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_to_l2p2_03,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,She smiled ___ show she was happy.,She smiled to show she was happy.,,to,v p o h s j q m c t a t,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s17.webp,,HFW_SENTENCE_SPELL_L2P2_04,to::HFW_SENTENCE_SPELL_L2P2_04::she smiled ___ show she was happy::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s17.webp,to::HFW_SENTENCE_SPELL_L2P2_04,hfw_true_variation_generator,HFW 1-25,sentence_frame=she smiled ___ show she was happy,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_to_l2p2_04,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,We sat down ___ eat lunch.,We sat down to eat lunch.,,to,a b v o r h x j f m t o,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s18.webp,,HFW_SENTENCE_SPELL_L2P2_05,to::HFW_SENTENCE_SPELL_L2P2_05::we sat down ___ eat lunch::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s18.webp,to::HFW_SENTENCE_SPELL_L2P2_05,hfw_true_variation_generator,HFW 1-25,sentence_frame=we sat down ___ eat lunch,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_to_l2p2_05,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,He held up his hand ___ answer.,He held up his hand to answer.,,to,i o g b o d r z x w f t,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s19.webp,,HFW_SENTENCE_SPELL_L2P2_06,to::HFW_SENTENCE_SPELL_L2P2_06::he held up his hand ___ answer::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s19.webp,to::HFW_SENTENCE_SPELL_L2P2_06,hfw_true_variation_generator,HFW 1-25,sentence_frame=he held up his hand ___ answer,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_to_l2p2_06,hfw_sentence_spell,to,Listen to the sentence. Spell the word that fits.,The kite rose ___ the clouds.,The kite rose to the clouds.,,to,t n i k g o l d e z y w,to,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s20.webp,,HFW_SENTENCE_SPELL_L2P2_07,to::HFW_SENTENCE_SPELL_L2P2_07::the kite rose ___ the clouds::to::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_to_s20.webp,to::HFW_SENTENCE_SPELL_L2P2_07,hfw_true_variation_generator,HFW 1-25,sentence_frame=the kite rose ___ the clouds,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_and_l1p1_01,multiple_choice,and,Choose the word that completes the sentence.,"When the page turned, mom ___ Dad waved goodbye.","When the page turned, mom and Dad waved goodbye.",a | and | we | for | a | and | we | for | a | and | we | for,and,,,/images/assessment/hfw/variants/hfw-1-25/and-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_03,and::HFW_SENTENCE_CLOZE_L1P1_03::when the page turned mom ___ dad waved goodbye::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/hfw-1-25/and-l1p1-02.webp,and::HFW_SENTENCE_CLOZE_L1P1_03,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the page turned mom ___ dad waved goodbye,mechanical_sentence
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_and_l1p1_02,multiple_choice,and,Choose the word that completes the sentence.,Mom ___ Dad waved goodbye.,Mom and Dad waved goodbye.,and | we | for | a | and | we | for | a | and | we | for | a,and,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s01.webp,,HFW_SENTENCE_CLOZE_L1P1_04,and::HFW_SENTENCE_CLOZE_L1P1_04::mom ___ dad waved goodbye::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s01.webp,and::HFW_SENTENCE_CLOZE_L1P1_04,hfw_true_variation_generator,HFW 1-25,sentence_frame=mom ___ dad waved goodbye,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_and_l1p1_03,multiple_choice,and,Choose the word that completes the sentence.,The cat ___ dog slept together.,The cat and dog slept together.,we | for | a | and | we | for | a | and | we | for | a | and,and,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s02.webp,,HFW_SENTENCE_CLOZE_L1P1_05,and::HFW_SENTENCE_CLOZE_L1P1_05::the cat ___ dog slept together::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s02.webp,and::HFW_SENTENCE_CLOZE_L1P1_05,hfw_true_variation_generator,HFW 1-25,sentence_frame=the cat ___ dog slept together,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_and_l1p1_04,multiple_choice,and,Choose the word that completes the sentence.,I picked up my bag ___ coat.,I picked up my bag and coat.,for | a | and | we | for | a | and | we | for | a | and | we,and,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s03.webp,,HFW_SENTENCE_CLOZE_L1P1_06,and::HFW_SENTENCE_CLOZE_L1P1_06::i picked up my bag ___ coat::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s03.webp,and::HFW_SENTENCE_CLOZE_L1P1_06,hfw_true_variation_generator,HFW 1-25,sentence_frame=i picked up my bag ___ coat,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_and_l1p1_05,multiple_choice,and,Choose the word that completes the sentence.,Sam ran ___ jumped over the log.,Sam ran and jumped over the log.,a | and | we | for | a | and | we | for | a | and | we | for,and,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s04.webp,,HFW_SENTENCE_CLOZE_L1P1_07,and::HFW_SENTENCE_CLOZE_L1P1_07::sam ran ___ jumped over the log::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s04.webp,and::HFW_SENTENCE_CLOZE_L1P1_07,hfw_true_variation_generator,HFW 1-25,sentence_frame=sam ran ___ jumped over the log,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_and_l1p1_06,multiple_choice,and,Choose the word that completes the sentence.,The sun rose ___ the birds sang.,The sun rose and the birds sang.,and | we | for | a | and | we | for | a | and | we | for | a,and,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s05.webp,,HFW_SENTENCE_CLOZE_L1P1_08,and::HFW_SENTENCE_CLOZE_L1P1_08::the sun rose ___ the birds sang::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_and_s05.webp,and::HFW_SENTENCE_CLOZE_L1P1_08,hfw_true_variation_generator,HFW 1-25,sentence_frame=the sun rose ___ the birds sang,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_and_l1p2_01,multiple_choice,and,Read the sentence. Choose the word that fits.,"When the ball bounced, mom ___ Dad waved goodbye.","When the ball bounced, mom and Dad waved goodbye.",and | we | for | a | and | we | for | a | and | we | for | a,and,,,/images/assessment/hfw/variants/hfw-1-25/and-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_03,and::HFW_SENTENCE_CLOZE_L1P2_03::when the ball bounced mom ___ dad waved goodbye::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/hfw-1-25/and-l1p2-02.webp,and::HFW_SENTENCE_CLOZE_L1P2_03,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the ball bounced mom ___ dad waved goodbye,mechanical_sentence
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_and_l1p2_02,multiple_choice,and,Read the sentence. Choose the word that fits.,"When the kite dipped, mom ___ Dad waved goodbye.","When the kite dipped, mom and Dad waved goodbye.",we | for | a | and | we | for | a | and | we | for | a | and,and,,,/images/assessment/hfw/variants/hfw-1-25/and-l1p2-03.webp,,HFW_SENTENCE_CLOZE_L1P2_04,and::HFW_SENTENCE_CLOZE_L1P2_04::when the kite dipped mom ___ dad waved goodbye::and::a|a|a|and|and|and|for|for|for|we|we|we::/images/assessment/hfw/variants/hfw-1-25/and-l1p2-03.webp,and::HFW_SENTENCE_CLOZE_L1P2_04,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the kite dipped mom ___ dad waved goodbye,mechanical_sentence
