qa_status,acceptable,rejection_reason,reviewer_notes,question_id,skill_id,band,level,phase,target_word,question_type,sentence_with_blank,full_sentence,correct_answer,answer_choices,image_path,image_preview_path,image_role,image_policy,replacement_needed,kimi_prompt
no_image_required,,,,HFWQ-0012,hfw_1_25,HFW 1-25,2,2,of,hfw_sentence_spell,The front ___ the bus was yellow.,The front of the bus was yellow.,of,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The front of the bus was yellow."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0013,hfw_1_25,HFW 1-25,1,1,and,multiple_choice,Mom ___ Dad waved goodbye.,Mom and Dad waved goodbye.,and,and | people | you | number,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Mom and Dad waved goodbye."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0014,hfw_1_25,HFW 1-25,1,2,and,multiple_choice,The cat ___ dog slept together.,The cat and dog slept together.,and,number | water | people | and,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The cat and dog slept together."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0015,hfw_1_25,HFW 1-25,1,2,and,multiple_choice,I picked up my bag ___ coat.,I picked up my bag and coat.,and,water | and | look | people,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I picked up my bag and coat."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0016,hfw_1_25,HFW 1-25,2,1,and,hfw_sentence_spell,Sam ran ___ jumped over the log.,Sam ran and jumped over the log.,and,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Sam ran and jumped over the log."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0017,hfw_1_25,HFW 1-25,2,2,and,hfw_sentence_spell,The sun rose ___ the birds sang.,The sun rose and the birds sang.,and,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The sun rose and the birds sang."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0018,hfw_1_25,HFW 1-25,2,2,and,hfw_sentence_spell,We ate soup ___ bread for lunch.,We ate soup and bread for lunch.,and,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""We ate soup and bread for lunch."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0019,hfw_1_25,HFW 1-25,1,1,a,multiple_choice,I saw ___ bird on the fence.,I saw a bird on the fence.,a,said | is | for | a,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I saw a bird on the fence."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0020,hfw_1_25,HFW 1-25,1,2,a,multiple_choice,She has ___ blue cup.,She has a blue cup.,a,for | said | a | look,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""She has a blue cup."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0021,hfw_1_25,HFW 1-25,1,2,a,multiple_choice,___ frog jumped into the pond.,A frog jumped into the pond.,a,look | said | come | a,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""A frog jumped into the pond."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0022,hfw_1_25,HFW 1-25,2,1,a,hfw_sentence_spell,Dad found ___ lost key.,Dad found a lost key.,a,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Dad found a lost key."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0023,hfw_1_25,HFW 1-25,2,2,a,hfw_sentence_spell,We made ___ tent with blankets.,We made a tent with blankets.,a,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""We made a tent with blankets."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0024,hfw_1_25,HFW 1-25,2,2,a,hfw_sentence_spell,___ small dog ran past me.,A small dog ran past me.,a,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""A small dog ran past me."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0025,hfw_1_25,HFW 1-25,1,1,to,multiple_choice,We walked ___ the park.,We walked to the park.,to,number | to | you | people,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""We walked to the park."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0026,hfw_1_25,HFW 1-25,1,2,to,multiple_choice,I gave the ball ___ Mia.,I gave the ball to Mia.,to,water | to | people | number,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I gave the ball to Mia."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0027,hfw_1_25,HFW 1-25,1,2,to,multiple_choice,The cat ran ___ the door.,The cat ran to the door.,to,to | people | water | look,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The cat ran to the door."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0028,hfw_1_25,HFW 1-25,2,1,to,hfw_sentence_spell,She went ___ the library.,She went to the library.,to,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""She went to the library."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0029,hfw_1_25,HFW 1-25,2,2,to,hfw_sentence_spell,Dad drove ___ the store.,Dad drove to the store.,to,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Dad drove to the store."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0030,hfw_1_25,HFW 1-25,2,2,to,hfw_sentence_spell,He listened ___ the song.,He listened to the song.,to,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He listened to the song."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0031,hfw_1_25,HFW 1-25,1,1,in,multiple_choice,The fish swam ___ the bowl.,The fish swam in the bowl.,in,number | in | people | you,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The fish swam in the bowl."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0032,hfw_1_25,HFW 1-25,1,2,in,multiple_choice,My book is ___ the bag.,My book is in the bag.,in,water | number | people | in,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""My book is in the bag."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0033,hfw_1_25,HFW 1-25,1,2,in,multiple_choice,A frog sat ___ the pond.,A frog sat in the pond.,in,people | in | look | water,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""A frog sat in the pond."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0034,hfw_1_25,HFW 1-25,2,1,in,hfw_sentence_spell,The spoon is ___ the cup.,The spoon is in the cup.,in,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The spoon is in the cup."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0035,hfw_1_25,HFW 1-25,2,2,in,hfw_sentence_spell,She put blocks ___ the box.,She put blocks in the box.,in,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""She put blocks in the box."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0036,hfw_1_25,HFW 1-25,2,2,in,hfw_sentence_spell,The baby slept ___ the crib.,The baby slept in the crib.,in,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The baby slept in the crib."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0037,hfw_1_25,HFW 1-25,1,1,is,multiple_choice,The cat ___ asleep.,The cat is asleep.,is,your | for | is | in,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The cat is asleep."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0038,hfw_1_25,HFW 1-25,1,2,is,multiple_choice,My cup ___ blue.,My cup is blue.,is,in | number | for | is,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""My cup is blue."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0039,hfw_1_25,HFW 1-25,1,2,is,multiple_choice,The sun ___ warm.,The sun is warm.,is,water | is | number | for,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The sun is warm."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0040,hfw_1_25,HFW 1-25,2,1,is,hfw_sentence_spell,That dog ___ small.,That dog is small.,is,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""That dog is small."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0041,hfw_1_25,HFW 1-25,2,2,is,hfw_sentence_spell,The book ___ on the desk.,The book is on the desk.,is,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The book is on the desk."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0042,hfw_1_25,HFW 1-25,2,2,is,hfw_sentence_spell,Her hat ___ red.,Her hat is red.,is,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Her hat is red."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0043,hfw_1_25,HFW 1-25,1,1,you,multiple_choice,___ can sit here.,You can sit here.,you,in | for | said | you,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""You can sit here."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0044,hfw_1_25,HFW 1-25,1,2,you,multiple_choice,I can see ___.,I can see you.,you,said | for | can | you,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I can see you."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0045,hfw_1_25,HFW 1-25,1,2,you,multiple_choice,___ have a red backpack.,You have a red backpack.,you,said | you | can | number,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""You have a red backpack."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0046,hfw_1_25,HFW 1-25,2,1,you,hfw_sentence_spell,Can ___ open the box?,Can you open the box?,you,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Can you open the box?"". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0047,hfw_1_25,HFW 1-25,2,2,you,hfw_sentence_spell,___ are my friend.,You are my friend.,you,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""You are my friend."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0048,hfw_1_25,HFW 1-25,2,2,you,hfw_sentence_spell,I gave ___ a sticker.,I gave you a sticker.,you,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I gave you a sticker."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0049,hfw_1_25,HFW 1-25,1,1,that,multiple_choice,___ dog is friendly.,That dog is friendly.,that,said | for | is | that,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""That dog is friendly."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0050,hfw_1_25,HFW 1-25,1,2,that,multiple_choice,I want ___ book.,I want that book.,that,that | for | said | look,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I want that book."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0051,hfw_1_25,HFW 1-25,1,2,that,multiple_choice,___ is my red cup.,That is my red cup.,that,said | that | look | come,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""That is my red cup."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0052,hfw_1_25,HFW 1-25,2,1,that,hfw_sentence_spell,Look at ___ big cloud.,Look at that big cloud.,that,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Look at that big cloud."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0053,hfw_1_25,HFW 1-25,2,2,that,hfw_sentence_spell,___ bird can fly fast.,That bird can fly fast.,that,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""That bird can fly fast."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0054,hfw_1_25,HFW 1-25,2,2,that,hfw_sentence_spell,She found ___ lost sock.,She found that lost sock.,that,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""She found that lost sock."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0055,hfw_1_25,HFW 1-25,1,1,it,multiple_choice,___ is raining outside.,It is raining outside.,it,said | it | for | in,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""It is raining outside."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0056,hfw_1_25,HFW 1-25,1,2,it,multiple_choice,I found ___ under the bed.,I found it under the bed.,it,for | said | it | can,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I found it under the bed."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0057,hfw_1_25,HFW 1-25,1,2,it,multiple_choice,___ can jump very high.,It can jump very high.,it,it | said | can | number,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""It can jump very high."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0058,hfw_1_25,HFW 1-25,2,1,it,hfw_sentence_spell,Please put ___ on the shelf.,Please put it on the shelf.,it,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""Please put it on the shelf."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0059,hfw_1_25,HFW 1-25,2,2,it,hfw_sentence_spell,___ was behind the chair.,It was behind the chair.,it,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""It was behind the chair."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0060,hfw_1_25,HFW 1-25,2,2,it,hfw_sentence_spell,I like ___ very much.,I like it very much.,it,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""I like it very much."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0061,hfw_1_25,HFW 1-25,1,1,he,multiple_choice,___ ran to the bus.,He ran to the bus.,he,for | in | said | he,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He ran to the bus."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0062,hfw_1_25,HFW 1-25,1,2,he,multiple_choice,___ has a green hat.,He has a green hat.,he,can | he | said | for,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He has a green hat."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0063,hfw_1_25,HFW 1-25,1,2,he,multiple_choice,___ is my brother.,He is my brother.,he,he | can | said | number,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He is my brother."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0064,hfw_1_25,HFW 1-25,2,1,he,hfw_sentence_spell,___ found a shiny rock.,He found a shiny rock.,he,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He found a shiny rock."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0065,hfw_1_25,HFW 1-25,2,2,he,hfw_sentence_spell,___ can jump over the rope.,He can jump over the rope.,he,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He can jump over the rope."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0066,hfw_1_25,HFW 1-25,2,2,he,hfw_sentence_spell,___ helped clean the table.,He helped clean the table.,he,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He helped clean the table."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0067,hfw_1_25,HFW 1-25,1,1,was,multiple_choice,The dog ___ under the table.,The dog was under the table.,was,for | your | in | was,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The dog was under the table."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0068,hfw_1_25,HFW 1-25,1,2,was,multiple_choice,It ___ cold this morning.,It was cold this morning.,was,for | in | was | number,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""It was cold this morning."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0069,hfw_1_25,HFW 1-25,1,2,was,multiple_choice,She ___ happy at school.,She was happy at school.,was,for | was | number | water,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""She was happy at school."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0070,hfw_1_25,HFW 1-25,2,1,was,hfw_sentence_spell,The cake ___ on the plate.,The cake was on the plate.,was,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""The cake was on the plate."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
no_image_required,,,,HFWQ-0071,hfw_1_25,HFW 1-25,2,2,was,hfw_sentence_spell,He ___ late for class.,He was late for class.,was,,,,,no_image,N,"Create one clean child-friendly LiteracyPath cartoon scene matching this exact sentence: ""He was late for class."". No embedded text, labels, signs, watermarks, logos, photorealism, rainbow/babyish style, AI slop, extra hands/fingers/limbs, or distorted faces."
