word,missing_image,missing_audio,imageability,decodability_band,primary_section,meaning_clue,suggested_image_path,suggested_audio_path,image_prompt,audio_prompt,notes
baked,TRUE,TRUE,Medium,,Inflections - ed / er / est,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/baked.webp,/media/vocabulary/audio/baked.mp3,"Child-friendly early-reader illustration for ""baked"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""baked"" once, natural pronunciation, no extra phrase, no music, no sound effects.",5
baker,TRUE,TRUE,High,,Common early nouns - people and family,people/family word,/media/vocabulary/images/baker.webp,/media/vocabulary/audio/baker.mp3,"Child-friendly early-reader illustration for ""baker"". Classroom meaning clue: people/family word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""baker"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting.
baking,TRUE,TRUE,Medium-Low,Grade 2-3,Inflections - ing,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/baking.webp,/media/vocabulary/audio/baking.mp3,"Child-friendly early-reader illustration for ""baking"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""baking"" once, natural pronunciation, no extra phrase, no music, no sound effects.",6
balls,TRUE,TRUE,Medium,,Inflections - plural / s / es,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/balls.webp,/media/vocabulary/audio/balls.mp3,"Child-friendly early-reader illustration for ""balls"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""balls"" once, natural pronunciation, no extra phrase, no music, no sound effects.",5
ban,TRUE,TRUE,Medium,K-Grade 1,Short a CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/ban.webp,/media/vocabulary/audio/ban.mp3,"Child-friendly early-reader illustration for ""ban"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""ban"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
band,TRUE,TRUE,Medium,Grade 1,Simple CVCC short-vowel words,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/band.webp,/media/vocabulary/audio/band.mp3,"Child-friendly early-reader illustration for ""band"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""band"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
bank,TRUE,FALSE,Medium,Grade 1,Simple CVCC short-vowel words,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bank.webp,,"Child-friendly early-reader illustration for ""bank"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
bats,TRUE,FALSE,Medium,Grade 2-3,Inflections - plural / s / es,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bats.webp,,"Child-friendly early-reader illustration for ""bats"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
bay,TRUE,TRUE,Medium,Grade 1-2,Long a vowel teams ai / ay / eigh,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bay.webp,/media/vocabulary/audio/bay.mp3,"Child-friendly early-reader illustration for ""bay"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""bay"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
beam,TRUE,TRUE,Medium,Grade 1-2,Long e vowel teams ee / ea / ey / ie,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/beam.webp,/media/vocabulary/audio/beam.mp3,"Child-friendly early-reader illustration for ""beam"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""beam"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
beard,TRUE,TRUE,Medium,,Air / ear / eer / are patterns,common K-3 vocabulary word,/media/vocabulary/images/beard.webp,/media/vocabulary/audio/beard.mp3,"Child-friendly early-reader illustration for ""beard"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""beard"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling.
beat,TRUE,TRUE,Medium,Grade 1-2,Long e vowel teams ee / ea / ey / ie,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/beat.webp,/media/vocabulary/audio/beat.mp3,"Child-friendly early-reader illustration for ""beat"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""beat"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
because,TRUE,FALSE,Low,,Au / aw / al / all,grammar/function word used to build sentences,/media/vocabulary/images/because.webp,,"Child-friendly early-reader illustration for ""because"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling.
beds,TRUE,TRUE,Medium,,Inflections - plural / s / es,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/beds.webp,/media/vocabulary/audio/beds.mp3,"Child-friendly early-reader illustration for ""beds"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""beds"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
been,TRUE,FALSE,Low,Grade 1-2,Long e vowel teams ee / ea / ey / ie,common high-frequency word for reading fluency,/media/vocabulary/images/been.webp,,"Child-friendly early-reader illustration for ""been"". Classroom meaning clue: common high-frequency word for reading fluency. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling.
beg,TRUE,TRUE,Medium,K-Grade 1,Short e CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/beg.webp,/media/vocabulary/audio/beg.mp3,"Child-friendly early-reader illustration for ""beg"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""beg"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
begin,TRUE,FALSE,Medium,Grade 2-3,Common verbs K-3,action word; use in a simple sentence or picture prompt,/media/vocabulary/images/begin.webp,,"Child-friendly early-reader illustration for ""begin"". Classroom meaning clue: action word; use in a simple sentence or picture prompt. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
bent,TRUE,FALSE,Medium,Grade 1,Short vowel words with final blends,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bent.webp,,"Child-friendly early-reader illustration for ""bent"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
best,TRUE,FALSE,Low,Grade 1,Simple CVCC short-vowel words,common high-frequency word for reading fluency,/media/vocabulary/images/best.webp,,"Child-friendly early-reader illustration for ""best"". Classroom meaning clue: common high-frequency word for reading fluency. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Good for early blending and initial/final sound tasks.
bet,TRUE,TRUE,Medium,K-Grade 1,Short e CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bet.webp,/media/vocabulary/audio/bet.mp3,"Child-friendly early-reader illustration for ""bet"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""bet"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
better,TRUE,FALSE,Low,Grade 1-2,R-controlled er / ir / ur,common high-frequency word for reading fluency,/media/vocabulary/images/better.webp,,"Child-friendly early-reader illustration for ""better"". Classroom meaning clue: common high-frequency word for reading fluency. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for r-controlled vowel sorting.
bigger,TRUE,FALSE,Medium-Low,,Inflections - ed / er / est,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bigger.webp,,"Child-friendly early-reader illustration for ""bigger"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for r-controlled vowel sorting.
birthday,TRUE,TRUE,Medium-Low,Grade 1-2,Long a vowel teams ai / ay / eigh,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/birthday.webp,/media/vocabulary/audio/birthday.mp3,"Child-friendly early-reader illustration for ""birthday"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""birthday"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling.
bite,TRUE,TRUE,Medium,Grade 1-2,CVCe long e / i / o / u,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bite.webp,/media/vocabulary/audio/bite.mp3,"Child-friendly early-reader illustration for ""bite"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""bite"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
blend,TRUE,TRUE,Medium,Grade 1,Short vowel words with final blends,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/blend.webp,/media/vocabulary/audio/blend.mp3,"Child-friendly early-reader illustration for ""blend"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""blend"" once, natural pronunciation, no extra phrase, no music, no sound effects.",5
blink,TRUE,TRUE,Medium,Grade 1,Short vowel words with final blends,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/blink.webp,/media/vocabulary/audio/blink.mp3,"Child-friendly early-reader illustration for ""blink"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""blink"" once, natural pronunciation, no extra phrase, no music, no sound effects.",5
bloom,TRUE,TRUE,Medium,Grade 1,Common blends and clusters,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bloom.webp,/media/vocabulary/audio/bloom.mp3,"Child-friendly early-reader illustration for ""bloom"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""bloom"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
blow,TRUE,FALSE,Medium,K-Grade 3 vocabulary,Long o patterns o_e / oa / ow / oe,common K-3 vocabulary word,/media/vocabulary/images/blow.webp,,"Child-friendly early-reader illustration for ""blow"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work. Good for early blending and initial/final sound tasks.
blur,TRUE,FALSE,Medium,Grade 1-2,R-controlled er / ir / ur,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/blur.webp,,"Child-friendly early-reader illustration for ""blur"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for r-controlled vowel sorting. Good for early blending and initial/final sound tasks.
bob,TRUE,FALSE,Medium,K-Grade 1,Short o CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bob.webp,,"Child-friendly early-reader illustration for ""bob"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
body,TRUE,FALSE,High,,Common early nouns - body and clothes,body/clothing word,/media/vocabulary/images/body.webp,,"Child-friendly early-reader illustration for ""body"". Classroom meaning clue: body/clothing word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,4
bog,TRUE,TRUE,Medium,K-Grade 1,Short o CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/bog.webp,/media/vocabulary/audio/bog.mp3,"Child-friendly early-reader illustration for ""bog"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""bog"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
boil,TRUE,TRUE,Medium,Grade 1-2,Diphthongs oi / oy,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/boil.webp,/media/vocabulary/audio/boil.mp3,"Child-friendly early-reader illustration for ""boil"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""boil"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
bony,TRUE,TRUE,Medium,,Simple two-syllable decodable words,common K-3 vocabulary word,/media/vocabulary/images/bony.webp,/media/vocabulary/audio/bony.mp3,"Child-friendly early-reader illustration for ""bony"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""bony"" once, natural pronunciation, no extra phrase, no music, no sound effects.",4
born,TRUE,FALSE,Medium,Grade 1-2,R-controlled or / ore / oar / our,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/born.webp,,"Child-friendly early-reader illustration for ""born"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for r-controlled vowel sorting. Good for early blending and initial/final sound tasks.
both,TRUE,FALSE,Low,,Consonant digraphs - th / wh / ph,grammar/function word used to build sentences,/media/vocabulary/images/both.webp,,"Child-friendly early-reader illustration for ""both"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Good for early blending and initial/final sound tasks.
boy,TRUE,FALSE,High,Grade 1-2,Diphthongs oi / oy,male child,/media/vocabulary/images/boy.webp,,"Child-friendly early-reader illustration for ""boy"". Classroom meaning clue: male child. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
