acceptable,issue_type,severity,replacement_needed,reviewer_notes,image_id,path,target_word,skill_id,area,contact_sheet,contact_sheet_position,current_qa_status,suggested_kimi_replacement_prompt
Y,,,N,,img_007334,/media/vocabulary/images/adjective-old.webp,old,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,21,unreviewed,"Create a clean clear target object/action art replacement for old. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-old.webp"
Y,,,N,,img_007335,/media/vocabulary/images/adjective-playful.webp,playful,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,22,unreviewed,"Create a clean clear target object/action art replacement for playful. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-playful.webp"
Y,,,N,,img_007336,/media/vocabulary/images/adjective-prickly.webp,prickly,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,23,unreviewed,"Create a clean clear target object/action art replacement for prickly. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-prickly.webp"
Y,,,N,,img_007337,/media/vocabulary/images/adjective-proud.webp,proud,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,24,unreviewed,"Create a clean clear target object/action art replacement for proud. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-proud.webp"
Y,,,N,,img_007338,/media/vocabulary/images/adjective-purple.webp,purple,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,25,unreviewed,"Create a clean clear target object/action art replacement for purple. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-purple.webp"
Y,,,N,,img_007339,/media/vocabulary/images/adjective-rough.webp,rough,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,26,unreviewed,"Create a clean clear target object/action art replacement for rough. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-rough.webp"
Y,,,N,,img_007340,/media/vocabulary/images/adjective-sharp.webp,sharp,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,27,unreviewed,"Create a clean clear target object/action art replacement for sharp. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-sharp.webp"
Y,,,N,,img_007341,/media/vocabulary/images/adjective-shiny.webp,shiny,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,28,unreviewed,"Create a clean clear target object/action art replacement for shiny. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-shiny.webp"
Y,,,N,,img_007342,/media/vocabulary/images/adjective-silent.webp,silent,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,29,unreviewed,"Create a clean clear target object/action art replacement for silent. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-silent.webp"
Y,,,N,,img_007343,/media/vocabulary/images/adjective-smelly.webp,smelly,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,30,unreviewed,"Create a clean clear target object/action art replacement for smelly. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-smelly.webp"
Y,,,N,,img_007344,/media/vocabulary/images/adjective-smooth.webp,smooth,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,31,unreviewed,"Create a clean clear target object/action art replacement for smooth. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-smooth.webp"
Y,,,N,,img_007345,/media/vocabulary/images/adjective-sour.webp,sour,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,32,unreviewed,"Create a clean clear target object/action art replacement for sour. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-sour.webp"
Y,,,N,,img_007346,/media/vocabulary/images/adjective-sparkly.webp,sparkly,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,33,unreviewed,"Create a clean clear target object/action art replacement for sparkly. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-sparkly.webp"
Y,,,N,,img_007347,/media/vocabulary/images/adjective-square.webp,square,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,34,unreviewed,"Create a clean clear target object/action art replacement for square. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-square.webp"
Y,,,N,,img_007348,/media/vocabulary/images/adjective-striped.webp,striped,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,35,unreviewed,"Create a clean clear target object/action art replacement for striped. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-striped.webp"
Y,,,N,,img_007349,/media/vocabulary/images/adjective-strong.webp,strong,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,36,unreviewed,"Create a clean clear target object/action art replacement for strong. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-strong.webp"
Y,,,N,,img_007350,/media/vocabulary/images/adjective-sweet.webp,sweet,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,37,unreviewed,"Create a clean clear target object/action art replacement for sweet. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-sweet.webp"
Y,,,N,,img_007351,/media/vocabulary/images/adjective-tiny.webp,tiny,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,38,unreviewed,"Create a clean clear target object/action art replacement for tiny. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-tiny.webp"
Y,,,N,,img_007352,/media/vocabulary/images/adjective-warm.webp,warm,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,39,unreviewed,"Create a clean clear target object/action art replacement for warm. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-warm.webp"
Y,,,N,,img_007353,/media/vocabulary/images/adjective-young.webp,young,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,40,unreviewed,"Create a clean clear target object/action art replacement for young. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/adjective-young.webp"
Y,,,N,,img_007354,/media/vocabulary/images/against.webp,against,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,41,unreviewed,"Create a clean clear target object/action art replacement for against. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/against.webp"
Y,,,N,,img_007355,/media/vocabulary/images/aid.webp,aid,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,42,unreviewed,"Create a clean clear target object/action art replacement for aid. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/aid.webp"
Y,,,N,,img_007356,/media/vocabulary/images/aim.webp,aim,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,43,unreviewed,"Create a clean clear target object/action art replacement for aim. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/aim.webp"
Y,,,N,,img_007357,/media/vocabulary/images/air.webp,air,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,44,unreviewed,"Create a clean clear target object/action art replacement for air. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/air.webp"
Y,,,N,,img_007358,/media/vocabulary/images/airplane.webp,airplane,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,45,unreviewed,"Create a clean clear target object/action art replacement for airplane. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/airplane.webp"
Y,,,N,,img_007359,/media/vocabulary/images/alligator.webp,alligator,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,46,unreviewed,"Create a clean clear target object/action art replacement for alligator. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/alligator.webp"
Y,,,N,,img_007360,/media/vocabulary/images/almond.webp,almond,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,47,unreviewed,"Create a clean clear target object/action art replacement for almond. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/almond.webp"
Y,,,N,,img_007361,/media/vocabulary/images/almost.webp,almost,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,48,unreviewed,"Create a clean clear target object/action art replacement for almost. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/almost.webp"
Y,,,N,,img_007362,/media/vocabulary/images/along.webp,along,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,49,unreviewed,"Create a clean clear target object/action art replacement for along. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/along.webp"
Y,,,N,,img_007363,/media/vocabulary/images/also.webp,also,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,50,unreviewed,"Create a clean clear target object/action art replacement for also. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/also.webp"
Y,,,N,,img_007364,/media/vocabulary/images/always.webp,always,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,51,unreviewed,"Create a clean clear target object/action art replacement for always. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/always.webp"
Y,,,N,,img_007365,/media/vocabulary/images/am.webp,am,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,52,unreviewed,"Create a clean clear target object/action art replacement for am. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/am.webp"
Y,,,N,,img_007366,/media/vocabulary/images/among.webp,among,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,53,unreviewed,"Create a clean clear target object/action art replacement for among. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/among.webp"
Y,,,N,,img_007367,/media/vocabulary/images/annoy.webp,annoy,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,54,unreviewed,"Create a clean clear target object/action art replacement for annoy. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/annoy.webp"
Y,,,N,,img_007368,/media/vocabulary/images/another.webp,another,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,55,unreviewed,"Create a clean clear target object/action art replacement for another. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/another.webp"
Y,,,N,,img_007369,/media/vocabulary/images/anteater.webp,anteater,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,56,unreviewed,"Create a clean clear target object/action art replacement for anteater. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/anteater.webp"
Y,,,N,,img_007370,/media/vocabulary/images/ape.webp,ape,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,57,unreviewed,"Create a clean clear target object/action art replacement for ape. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/ape.webp"
Y,,,N,,img_007371,/media/vocabulary/images/applesauce.webp,applesauce,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,58,unreviewed,"Create a clean clear target object/action art replacement for applesauce. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/applesauce.webp"
Y,,,N,,img_007372,/media/vocabulary/images/arch.webp,arch,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,59,unreviewed,"Create a clean clear target object/action art replacement for arch. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/arch.webp"
Y,,,N,,img_007373,/media/vocabulary/images/argue.webp,argue,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,60,unreviewed,"Create a clean clear target object/action art replacement for argue. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/argue.webp"
Y,,,N,,img_007374,/media/vocabulary/images/ark.webp,ark,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,61,unreviewed,"Create a clean clear target object/action art replacement for ark. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/ark.webp"
Y,,,N,,img_007375,/media/vocabulary/images/arm.webp,arm,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,62,unreviewed,"Create a clean clear target object/action art replacement for arm. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/arm.webp"
Y,,,N,,img_007376,/media/vocabulary/images/armchair.webp,armchair,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,63,unreviewed,"Create a clean clear target object/action art replacement for armchair. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/armchair.webp"
Y,,,N,,img_007377,/media/vocabulary/images/around.webp,around,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,64,unreviewed,"Create a clean clear target object/action art replacement for around. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/around.webp"
Y,,,N,,img_007378,/media/vocabulary/images/art.webp,art,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,65,unreviewed,"Create a clean clear target object/action art replacement for art. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/art.webp"
Y,,,N,,img_007379,/media/vocabulary/images/artichoke.webp,artichoke,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,66,unreviewed,"Create a clean clear target object/action art replacement for artichoke. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/artichoke.webp"
Y,,,N,,img_007380,/media/vocabulary/images/ash.webp,ash,,vocabulary,docs/image-qa/contact-sheets/assessment-vocabulary-images-001.html,67,unreviewed,"Create a clean clear target object/action art replacement for ash. No watermark, no embedded text, no fake letters/numbers, no logos, no photorealism unless explicitly requested. No extra limbs/fingers, no disconnected body parts, no malformed animals, no distorted faces, no clutter. Original path: /media/vocabulary/images/ash.webp"
